URL,Path,Status,Title,Description,Canonical,Robots,H1,Word Count,JSON-LD Types,File
"https://smru.edu.in/schools/health-allied-health-sciences/occupational-therapy/phd-occupational-therapy/","/schools/health-allied-health-sciences/occupational-therapy/phd-occupational-therapy/","200","Ph.D. Occupational Therapy Hyderabad: Admission 2026, Fees | St.Mary&#x27;s University","Review Ph.D. Occupational Therapy at St.Mary&#x27;s University Hyderabad with doctoral admission guidance, OT research focus, eligibility, supervisors, and fee...","https://smru.edu.in/schools/health-allied-health-sciences/occupational-therapy/phd-occupational-therapy/","index,follow","Ph.D. Occupational Therapy","1815","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/health-allied-health-sciences/occupational-therapy/phd-occupational-therapy/index.html"
"https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/","/schools/health-allied-health-sciences/physiotherapy/","200","Physiotherapy Admissions 2026 | St.Mary&#x27;s University","Dedicated to the science of restorative movement and physical well-being. Students engage in manual therapy practice and use advanced mobilization...","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/","index,follow","Physiotherapy","919","BreadcrumbList; CollectionPage; FAQPage; ItemList; ListItem; Question","schools/health-allied-health-sciences/physiotherapy/index.html"
"https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/bpt/","/schools/health-allied-health-sciences/physiotherapy/bpt/","200","BPT Course in Hyderabad: Admission 2026, Fees | St.Mary&#x27;s University","Explore BPT at St.Mary&#x27;s University Hyderabad with eligibility, duration, fee guidance, physiotherapy practical training, clinical learning, and admissions...","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/bpt/","index,follow","BPT","2011","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/health-allied-health-sciences/physiotherapy/bpt/index.html"
"https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/mpt/","/schools/health-allied-health-sciences/physiotherapy/mpt/","200","MPT Course in Hyderabad: Admission 2026, Fees | St.Mary&#x27;s University","Review MPT at St.Mary&#x27;s University Hyderabad with PG physiotherapy eligibility, duration, fee guidance, specialization focus, clinical practice, and...","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/mpt/","index,follow","MPT","1826","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/health-allied-health-sciences/physiotherapy/mpt/index.html"
"https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy-neurology/","/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy-neurology/","200","Ph.D. Physiotherapy Neurology Hyderabad: Admission 2026 | St.Mary&#x27;s University","Review Ph.D. Physiotherapy Neurology at St.Mary&#x27;s University Hyderabad with doctoral admission guidance, neuro-rehabilitation research focus, eligibility,...","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy-neurology/","index,follow","Ph.D. Physiotherapy Neurology","1797","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy-neurology/index.html"
"https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy/","/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy/","200","Ph.D. Physiotherapy Hyderabad: Admission 2026, Fees | St.Mary&#x27;s University","Review Ph.D. Physiotherapy at St.Mary&#x27;s University Hyderabad with doctoral admission guidance, research focus areas, supervisor verification, eligibility,...","https://smru.edu.in/schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy/","index,follow","Ph.D. Physiotherapy","1786","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/health-allied-health-sciences/physiotherapy/phd-physiotherapy/index.html"
"https://smru.edu.in/schools/law/","/schools/law/","200","School of Law Admissions 2026 | St.Mary&#x27;s University","Explore admissions 2026, courses, eligibility, and official application updates for School of Law. The School of Law at St.Mary&#x27;s University, Hyderabad, is...","https://smru.edu.in/schools/law/","index,follow","School of Law","1124","BreadcrumbList; CollectionPage; FAQPage; ItemList; ListItem; Question","schools/law/index.html"
"https://smru.edu.in/schools/law/legal-studies/","/schools/law/legal-studies/","200","Law Admissions 2026 | St.Mary&#x27;s University","Detailed curriculum and admissions 2026 information for Law under School of Law.","https://smru.edu.in/schools/law/legal-studies/","index,follow","Law","977","BreadcrumbList; CollectionPage; FAQPage; ItemList; ListItem; Question","schools/law/legal-studies/index.html"
"https://smru.edu.in/schools/law/legal-studies/ba-llb-hons/","/schools/law/legal-studies/ba-llb-hons/","200","B.A. LL.B. / B.A. LL.B. (Hons.) Admissions 2026 | St.Mary&#x27;s University","B.A. LL.B. / B.A. LL.B. (Hons.) admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and...","https://smru.edu.in/schools/law/legal-studies/ba-llb-hons/","index,follow","B.A. LL.B. / B.A. LL.B. (Hons.)","1428","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/ba-llb-hons/index.html"
"https://smru.edu.in/schools/law/legal-studies/bba-llb-hons/","/schools/law/legal-studies/bba-llb-hons/","200","B.B.A. LL.B. / B.B.A. LL.B. (Hons.) Admissions 2026 | St.Mary&#x27;s University","B.B.A. LL.B. / B.B.A. LL.B. (Hons.) admissions 2026 at St.Mary&#x27;s University Hyderabad: eligibility, duration, fee guidance, syllabus, career pathways, and...","https://smru.edu.in/schools/law/legal-studies/bba-llb-hons/","index,follow","B.B.A. LL.B. / B.B.A. LL.B. (Hons.)","1416","BreadcrumbList; Course; FAQPage; ItemList; ListItem; Question; WebPage","schools/law/legal-studies/bba-llb-hons/index.html"
